marka,model,pojemnosc.skokowa.silnika,rodzaj.paliwa,rodzaj.pierwszego.paliwa.alternatywnego,data.pierwszej.rejestracji,data.pierwszej.rejestracji.w.kraju,data.ostatniej.rejestracji.w.kraju,data.wprowadzenia.danych,rejestracja.wojewodztwo,rejestracja.gmina,rejestracja.powiat,moc.netto.silnika,masa.wlasna,poziom.emisji.co2,srednie.zuzycie.paliwa,rok_produkcji
VOLVO,XC90,2400,OLEJ NAPĘDOWY,"",2012-01-02,2012-01-02,2023-06-19,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,147,2117,219,,2011
PEUGEOT,BOXER,2198,OLEJ NAPĘDOWY,"",2008-01-08,2012-01-05,2023-06-21,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,74,2040,,,2007
VOLKSWAGEN,PASSAT,1896,OLEJ NAPĘDOWY,"",2003-01-20,2012-01-05,2023-06-14,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,74,1509,,,2003
VOLKSWAGEN,PASSAT,1781,BENZYNA,"",1998-09-28,2012-01-09,2023-06-13,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,110,1386,,,1998
OPEL,CORSA,998,BENZYNA,"",2012-01-10,2012-01-10,2023-06-01,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,48,1088,117,5,2011
LAND ROVER,RANGE ROVER,2497,OLEJ NAPĘDOWY,"",2000-07-06,2012-01-10,2023-06-05,"",DOLNOŚLĄSKIE,ZGORZELEC,ZGORZELECKI,100,2125,,,2000
MITSUBISHI,LANCER,1590,BENZYNA,"",2012-01-10,2012-01-10,2023-06-07,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,86,1300,132,,2011
TOYOTA,CELICA,1762,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),1997-01-31,2012-01-11,2023-06-02,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,85,1170,,,1997
TOYOTA,YARIS,1364,OLEJ NAPĘDOWY,"",2012-01-11,2012-01-11,2023-06-06,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,66,1090,104,,2011
LEXUS,IS 220D,2231,OLEJ NAPĘDOWY,"",2006-12-15,2012-01-12,2023-06-12,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,130,1660,,,2006
SKODA,FABIA,1598,OLEJ NAPĘDOWY,NIE DOTYCZY,2012-01-12,2012-01-12,2023-06-07,"",DOLNOŚLĄSKIE,OŁAWA,OŁAWSKI,55,1129,109,,2011
SEAT,TOLEDO,1896,OLEJ NAPĘDOWY,"",2003-10-08,2012-01-16,2023-06-05,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,66,1263,,,2003
FORD,FOCUS,1560,OLEJ NAPĘDOWY,"",2012-01-16,2012-01-16,2023-06-19,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,70,1287,117,,2011
SKODA,OCTAVIA,1390,BENZYNA,"",2012-01-17,2012-01-17,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,90,1235,148,,2011
