Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Kia Rio 1.2 XL,Świebodzice,Benzyna,2011,28950,125000,1248,Kia,Rio
Volkswagen Polo 1.0 Trendline,Łódź,Benzyna,2015,35900,69160,999,Volkswagen,Polo
Mercedes-Benz Viano,Dąbrowa Górnicza,Diesel,2009,65900,326000,2987,Mercedes-Benz,0
Volkswagen Sharan 1.9 TDI Comfortline,Lidzbark Warmiński,Diesel,2005,17900,207000,1896,Volkswagen,Sharan
Volkswagen Touran 2.0 TDI DPF Highline,Świebodzice,Diesel,2008,26950,298000,1968,Volkswagen,Touran
Audi A6 Allroad 3.0 TDI Quattro Tiptr,Łódź,Diesel,2014,117900,195500,2967,Audi,A6
Toyota Hilux 2.4 D-4D Double Cab DLX 4x4,Limanowa,Diesel,2017,109900,70200,2393,Toyota,Hilux
Renault Koleos 2.0 dCi 4x4 Privilege,Ostrów Mazowiecka,Diesel,2011,31900,240000,1995,Renault,Koleos
Volkswagen Polo,Stęszew,Benzyna,2013,35000,25419,1197,Volkswagen,Polo
Audi A3 40 TDI Sportback quattro S tronic sport,Rzeszów,Diesel,2020,94894,160000,1968,Audi,A3
Nissan Qashqai 2.0 Tekna Premium,Rzgów,Benzyna,2009,32999,184350,1997,Nissan,Qashqai
Audi TT 2.0 TFSI,Świebodzice,Benzyna,2007,36600,249000,1984,Audi,TT
Audi A4 Avant 2.0 TDI ultra sport,Rzeszów,Diesel,2017,74900,210000,1968,Audi,A4
Mercedes-Benz Klasa C 180 Kompressor Avantgarde,Poznań,Benzyna,2008,36900,179970,1796,Mercedes-Benz,0
Land Rover Range Rover 4.4SD V8 LWB Vogue,Łódź,Diesel,2014,149900,308500,4367,Rover,0
Opel Insignia 2.0 CDTI Cosmo ecoFLEX,Nowy Sącz,Diesel,2010,28500,280000,1956,Opel,Insignia
Kia XCeed 1.6 T-GDI GT Line DCT,Chorzów,Benzyna,2023,154230,1,1591,Kia,0
Renault Megane 1.5 dCi Exception EDC,Zagórze,Diesel,2012,29990,245701,1461,Renault,Megane
BMW X3 xDrive20d xLine,Wymysłowo,Diesel,2017,144900,126240,1995,BMW,X3
Hyundai I30 1.5 T-GDI 48V Executive DCT,Chorzów,Benzyna,2023,123900,1,1482,Hyundai,0
Opel Zafira 1.9 CDTI Elegance,Lublin,Diesel,2007,19100,219300,1910,Opel,Zafira
Renault Kadjar 1.6 dCi Energy Intens,Chełm,Diesel,2017,65000,175000,1598,Renault,Kadjar
BMW Seria 5 530d xDrive Luxury Line,Kcynia,Diesel,2015,99500,92000,2993,BMW,Seria 5
BMW Seria 5,Kutno,Diesel,2004,22900,260000,2993,BMW,Seria 5
BMW X1 sDrive18d Sport Line,Konstantynów Łódzki,Diesel,2014,49000,166650,1995,BMW,X1
Volkswagen Golf VII 1.6 TDI BMT Highline,Koło,Diesel,2016,58500,80000,1598,Volkswagen,Golf
Volkswagen Golf,Piaseczno,Benzyna,2023,133500,5,1498,Volkswagen,Golf
Alfa Romeo 147 1.9 JTD Progression,Łomża,Diesel,2007,8500,144334,1910,Alfa Romeo,0
Daihatsu Terios 1.5 Top S 4WD,Gliwice,Benzyna,2006,23900,205000,1495,Daihatsu,Terios
Audi A4,Jedlińsk,Benzyna,2006,22900,275421,1784,Audi,A4
Renault Talisman 1.6 Energy dCi Business,Mysłowice,Diesel,2017,71000,88000,1598,Renault,Talisman
Toyota Auris,Łódź,Benzyna,2007,21900,179000,1598,Toyota,Auris
Volvo C30,Białystok,Diesel,2012,24999,138000,1560,Volvo,C30
Hyundai Tucson 2.0 CRDi Style,Gostynin,Diesel,2008,20900,172100,1991,Hyundai,Tucson
Fiat Sedici 1.6 16V 4x2 Dynamic,Niwy,Benzyna,2010,28900,155576,1586,Fiat,Sedici
Skoda Octavia 2.0 TDI SCR 4x4 L&K DSG,Gdańsk,Diesel,2018,99000,102064,1968,Skoda,Octavia
Skoda Fabia 1.2 12V Ambiente,Knurów,Benzyna,2010,13800,187420,1198,Skoda,Fabia
Volkswagen Eos 2.0 TSI DSG,Wrocław,Benzyna,2011,43000,176767,1984,Volkswagen,Eos
Opel Grandland X 1.2 T GPF Elite S&S,Łódź,Benzyna,2022,99900,8200,1199,Opel,0
Ford Kuga 1.5 EcoBoost 2x4 Black & Silver,Bełchatów,Benzyna,2016,59900,73813,1498,Ford,Kuga
Skoda RAPID 1.4 TSI Style DSG,Warszawa,Benzyna,2017,54900,97000,1395,Skoda,0
Skoda Fabia 1.0 TSI Ambition,Tychy,Benzyna,2020,46900,54700,999,Skoda,Fabia
Dodge Challenger Automatik R/T Plus,Secemin,Benzyna,2019,159000,124367,5654,Dodge,0
Renault Megane 1.7 Blue dCi GT Line EDC,Zambrów,Diesel,2019,69900,106000,1749,Renault,Megane
Citroën C3 1.2 PureTech Origins,Łask,Benzyna,2020,54900,50000,1199,Citroën,C3
Skoda Citigo 1.0 Style,Łask,Benzyna,2013,21900,100000,999,Skoda,Citigo
Hyundai ix35 1.7 CRDi Premium 2WD,Łask,Diesel,2015,52900,160000,1685,Hyundai,ix35
BMW Seria 1 118i M Sport,Chorzów,Benzyna,2023,172700,1,1499,BMW,Seria 1
Skoda Octavia 1.9 TDI Ice,Warszawa,Diesel,2005,14000,186900,1896,Skoda,Octavia
Toyota C-HR,Chwaszczyno,Hybryda,2022,139700,19494,1987,Toyota,C-HR
Lancia Phedra,Alwernia,Diesel,2008,9700,308000,1995,Lancia,Phedra
Opel Corsa 1.2 16V EcoFLEX Active,Radomsko,Benzyna,2013,20600,152300,1229,Opel,Corsa
Kia Sportage,Chorzów,Hybryda,2023,224846,1,1598,Kia,Sportage
BMW Seria 5 540d xDrive M Sport sport,Garwolin,Diesel,2017,192000,134298,2993,BMW,Seria 5
Ford Focus 1.6 TDCi Edition,Gromnik,Diesel,2012,17900,274575,1560,Ford,Focus
Hyundai Bayon 1.0 T-GDI Smart,Warszawa,Benzyna,2022,92200,1,998,Smart,0
Toyota Highlander,Białystok,Benzyna,2015,139000,109000,3456,Toyota,0
Volkswagen Passat 2.0 TSI Business DSG,Gdańsk,Benzyna,2022,184900,10,1984,Volkswagen,Passat
Audi A4,Płock,Diesel,2009,36900,232000,1968,Audi,A4
Mazda 6 2.0 SkyPassion,Długołęka,Benzyna,2019,122000,41000,1998,Mazda,6
